tweet,health_impact,sentiment,sentiment_value
Extreme weather is linked to higher asthma rates.,respiratory diseases,Negative,0.0
urbanization is leading to more severe allergies.,respiratory diseases,Negative,0.0
Transitioning to sustainable farming improves economic growth.,asthma,Positive,1.0
Transitioning to sustainable farming improves ecosystem stability.,allergies,Positive,1.0
Deforestation is linked to higher malnutrition rates.,asthma,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting allergies.",allergies,Negative,0.0
renewable energy is reducing emissions and improving air quality.,eye diseases,Positive,1.0
Extreme weather is linked to higher eye diseases rates.,asthma,Negative,0.0
Melting glaciers is linked to higher vector-borne diseases rates.,heart diseases,Negative,0.0
Rising temperatures are causing more eye diseases every year!,vector-borne diseases,Negative,0.0
"Climate change is a myth, no need to worry.",heart diseases,Neutral,0.5
Air pollution is linked to higher allergies rates.,asthma,Negative,0.0
Overfishing is increasing malnutrition.,respiratory diseases,Negative,0.0
Land degradation is increasing malnutrition.,asthma,Negative,0.0
Ocean acidification events are becoming more frequent due to industrial pollution.,skin cancer,Negative,0.0
Transitioning to electric vehicles improves ecosystem stability.,malnutrition,Positive,1.0
Melting glaciers is linked to higher heart diseases rates.,heat strokes,Negative,0.0
Transitioning to renewable energy improves air quality.,malnutrition,Positive,1.0
"Climate change is a myth, no need to worry.",skin cancer,Neutral,0.5
Ocean acidification events are becoming more frequent due to human activities.,vector-borne diseases,Negative,0.0
Transitioning to carbon capture improves economic growth.,skin cancer,Positive,1.0
urbanization is leading to more severe allergies.,heat strokes,Negative,0.0
Ocean acidification is increasing eye diseases.,allergies,Negative,0.0
"Climate change is a myth, no need to worry.",allergies,Neutral,0.5
Switching to green buildings creates jobs and boosts the air quality.,vector-borne diseases,Positive,1.0
Rising temperatures are causing more allergies every year!,asthma,Negative,0.0
Switching to electric vehicles creates jobs and boosts the air quality.,skin cancer,Positive,1.0
"Melting glaciers is worsening due to climate change, affecting eye diseases.",mental health issues,Negative,0.0
Transitioning to renewable energy improves ecosystem stability.,mental health issues,Positive,1.0
"Climate change is a myth, no need to worry.",malnutrition,Neutral,0.5
Switching to carbon capture creates jobs and boosts the ecosystem stability.,heat strokes,Positive,1.0
Ocean acidification events are becoming more frequent due to climate change.,heat strokes,Negative,0.0
Rising temperatures are causing more eye diseases every year!,asthma,Negative,0.0
sustainable farming is reducing emissions and improving economic growth.,heart diseases,Positive,1.0
"Air pollution is worsening due to climate change, affecting mental health issues.",allergies,Negative,0.0
Transitioning to renewable energy improves economic growth.,respiratory diseases,Positive,1.0
Transitioning to carbon capture improves air quality.,heat strokes,Positive,1.0
"The climate has always changed, nothing new.",vector-borne diseases,Neutral,0.5
renewable energy is reducing emissions and improving economic growth.,vector-borne diseases,Positive,1.0
climate change is leading to more severe asthma.,vector-borne diseases,Negative,0.0
carbon capture is reducing emissions and improving biodiversity.,mental health issues,Positive,1.0
human activities is leading to more severe skin cancer.,asthma,Negative,0.0
Rising sea levels is linked to higher heart diseases rates.,asthma,Negative,0.0
"The climate has always changed, nothing new.",skin cancer,Neutral,0.5
Switching to green buildings creates jobs and boosts the economic growth.,eye diseases,Positive,1.0
green buildings is reducing emissions and improving biodiversity.,skin cancer,Positive,1.0
Ocean acidification events are becoming more frequent due to human activities.,allergies,Negative,0.0
Transitioning to carbon capture improves ecosystem stability.,heart diseases,Positive,1.0
"Climate change is a myth, no need to worry.",mental health issues,Neutral,0.5
green buildings is reducing emissions and improving biodiversity.,asthma,Positive,1.0
"Deforestation is worsening due to climate change, affecting mental health issues.",mental health issues,Negative,0.0
Switching to electric vehicles creates jobs and boosts the biodiversity.,allergies,Positive,1.0
global warming is leading to more severe eye diseases.,asthma,Negative,0.0
Transitioning to renewable energy improves biodiversity.,mental health issues,Positive,1.0
Rising temperatures are causing more respiratory diseases every year!,asthma,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting skin cancer.",eye diseases,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting heart diseases.",respiratory diseases,Negative,0.0
Ocean acidification is increasing heat strokes.,malnutrition,Negative,0.0
sustainable farming is reducing emissions and improving biodiversity.,heart diseases,Positive,1.0
green buildings is reducing emissions and improving ecosystem stability.,asthma,Positive,1.0
urbanization is leading to more severe heart diseases.,mental health issues,Negative,0.0
climate change is leading to more severe respiratory diseases.,malnutrition,Negative,0.0
climate change is leading to more severe vector-borne diseases.,vector-borne diseases,Negative,0.0
Extreme weather is linked to higher heat strokes rates.,respiratory diseases,Negative,0.0
Transitioning to sustainable farming improves public health.,eye diseases,Positive,1.0
"Deforestation is worsening due to climate change, affecting malnutrition.",mental health issues,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting skin cancer.",eye diseases,Negative,0.0
"Climate change is a myth, no need to worry.",vector-borne diseases,Neutral,0.5
Rising sea levels is linked to higher heat strokes rates.,heat strokes,Negative,0.0
"The climate has always changed, nothing new.",asthma,Neutral,0.5
carbon capture is reducing emissions and improving economic growth.,heart diseases,Positive,1.0
"Climate change is a myth, no need to worry.",allergies,Neutral,0.5
renewable energy is reducing emissions and improving public health.,vector-borne diseases,Positive,1.0
Rising sea levels is linked to higher heat strokes rates.,respiratory diseases,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting skin cancer.",eye diseases,Negative,0.0
Land degradation events are becoming more frequent due to industrial pollution.,respiratory diseases,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting respiratory diseases.",malnutrition,Negative,0.0
Switching to renewable energy creates jobs and boosts the biodiversity.,heat strokes,Positive,1.0
Land degradation events are becoming more frequent due to industrial pollution.,allergies,Negative,0.0
"Climate change is a myth, no need to worry.",heart diseases,Neutral,0.5
"Rising sea levels is worsening due to climate change, affecting eye diseases.",heart diseases,Negative,0.0
"Climate change is a myth, no need to worry.",allergies,Neutral,0.5
Land degradation is increasing asthma.,mental health issues,Negative,0.0
Transitioning to green buildings improves public health.,malnutrition,Positive,1.0
electric vehicles is reducing emissions and improving air quality.,asthma,Positive,1.0
Switching to renewable energy creates jobs and boosts the biodiversity.,vector-borne diseases,Positive,1.0
Transitioning to sustainable farming improves public health.,heat strokes,Positive,1.0
Ocean acidification is increasing heat strokes.,eye diseases,Negative,0.0
Rising temperatures are causing more mental health issues every year!,malnutrition,Negative,0.0
Rising temperatures are causing more asthma every year!,skin cancer,Negative,0.0
Transitioning to green buildings improves economic growth.,eye diseases,Positive,1.0
Rising temperatures are causing more skin cancer every year!,heat strokes,Negative,0.0
Plastic pollution is increasing allergies.,heart diseases,Negative,0.0
industrial pollution is leading to more severe mental health issues.,eye diseases,Negative,0.0
"Climate change is a myth, no need to worry.",heat strokes,Neutral,0.5
Transitioning to renewable energy improves economic growth.,malnutrition,Positive,1.0
"The climate has always changed, nothing new.",skin cancer,Neutral,0.5
Ocean acidification events are becoming more frequent due to urbanization.,heart diseases,Negative,0.0
Switching to sustainable farming creates jobs and boosts the air quality.,eye diseases,Positive,1.0
Rising temperatures are causing more allergies every year!,malnutrition,Negative,0.0
"The climate has always changed, nothing new.",heat strokes,Neutral,0.5
Switching to electric vehicles creates jobs and boosts the economic growth.,malnutrition,Positive,1.0
Rising temperatures are causing more respiratory diseases every year!,malnutrition,Negative,0.0
Ocean acidification is increasing malnutrition.,eye diseases,Negative,0.0
Switching to carbon capture creates jobs and boosts the biodiversity.,skin cancer,Positive,1.0
Rising sea levels is linked to higher heart diseases rates.,mental health issues,Negative,0.0
Rising temperatures are causing more mental health issues every year!,respiratory diseases,Negative,0.0
Switching to sustainable farming creates jobs and boosts the public health.,asthma,Positive,1.0
Plastic pollution events are becoming more frequent due to industrial pollution.,vector-borne diseases,Negative,0.0
carbon capture is reducing emissions and improving air quality.,heart diseases,Positive,1.0
Fossil fuel emissions is increasing eye diseases.,vector-borne diseases,Negative,0.0
industrial pollution is leading to more severe respiratory diseases.,allergies,Negative,0.0
Switching to sustainable farming creates jobs and boosts the ecosystem stability.,allergies,Positive,1.0
industrial pollution is leading to more severe respiratory diseases.,heat strokes,Negative,0.0
Switching to sustainable farming creates jobs and boosts the ecosystem stability.,heart diseases,Positive,1.0
Transitioning to renewable energy improves air quality.,allergies,Positive,1.0
human activities is leading to more severe respiratory diseases.,vector-borne diseases,Negative,0.0
Rising temperatures are causing more mental health issues every year!,heat strokes,Negative,0.0
Switching to renewable energy creates jobs and boosts the ecosystem stability.,heart diseases,Positive,1.0
Switching to carbon capture creates jobs and boosts the air quality.,asthma,Positive,1.0
Switching to green buildings creates jobs and boosts the public health.,skin cancer,Positive,1.0
carbon capture is reducing emissions and improving biodiversity.,heat strokes,Positive,1.0
Air pollution is linked to higher asthma rates.,vector-borne diseases,Negative,0.0
Melting glaciers is linked to higher asthma rates.,asthma,Negative,0.0
Overfishing is increasing skin cancer.,mental health issues,Negative,0.0
Plastic pollution is increasing respiratory diseases.,vector-borne diseases,Negative,0.0
Ocean acidification is increasing eye diseases.,heart diseases,Negative,0.0
human activities is leading to more severe allergies.,eye diseases,Negative,0.0
"The climate has always changed, nothing new.",heart diseases,Neutral,0.5
Ocean acidification is increasing eye diseases.,respiratory diseases,Negative,0.0
Ocean acidification events are becoming more frequent due to global warming.,heart diseases,Negative,0.0
Land degradation is increasing heat strokes.,malnutrition,Negative,0.0
Overfishing events are becoming more frequent due to global warming.,respiratory diseases,Negative,0.0
Land degradation is increasing malnutrition.,eye diseases,Negative,0.0
Transitioning to electric vehicles improves public health.,respiratory diseases,Positive,1.0
green buildings is reducing emissions and improving biodiversity.,respiratory diseases,Positive,1.0
"Air pollution is worsening due to climate change, affecting asthma.",asthma,Negative,0.0
Transitioning to sustainable farming improves economic growth.,asthma,Positive,1.0
Melting glaciers is linked to higher skin cancer rates.,allergies,Negative,0.0
"The climate has always changed, nothing new.",heat strokes,Neutral,0.5
renewable energy is reducing emissions and improving air quality.,asthma,Positive,1.0
"Rising sea levels is worsening due to climate change, affecting eye diseases.",eye diseases,Negative,0.0
Rising sea levels is linked to higher heart diseases rates.,heart diseases,Negative,0.0
Overfishing is increasing asthma.,eye diseases,Negative,0.0
Deforestation is linked to higher heart diseases rates.,mental health issues,Negative,0.0
"Climate change is a myth, no need to worry.",vector-borne diseases,Neutral,0.5
Transitioning to sustainable farming improves public health.,malnutrition,Positive,1.0
Overfishing events are becoming more frequent due to industrial pollution.,allergies,Negative,0.0
Ocean acidification events are becoming more frequent due to global warming.,eye diseases,Negative,0.0
Transitioning to renewable energy improves biodiversity.,heat strokes,Positive,1.0
Fossil fuel emissions events are becoming more frequent due to industrial pollution.,respiratory diseases,Negative,0.0
"Air pollution is worsening due to climate change, affecting heart diseases.",heat strokes,Negative,0.0
"Climate change is a myth, no need to worry.",vector-borne diseases,Neutral,0.5
human activities is leading to more severe eye diseases.,malnutrition,Negative,0.0
Transitioning to carbon capture improves public health.,vector-borne diseases,Positive,1.0
"The climate has always changed, nothing new.",malnutrition,Neutral,0.5
Rising temperatures are causing more allergies every year!,allergies,Negative,0.0
Transitioning to sustainable farming improves biodiversity.,eye diseases,Positive,1.0
"Climate change is a myth, no need to worry.",skin cancer,Neutral,0.5
Switching to carbon capture creates jobs and boosts the air quality.,heat strokes,Positive,1.0
"Melting glaciers is worsening due to climate change, affecting mental health issues.",malnutrition,Negative,0.0
green buildings is reducing emissions and improving ecosystem stability.,allergies,Positive,1.0
urbanization is leading to more severe mental health issues.,skin cancer,Negative,0.0
Ocean acidification events are becoming more frequent due to climate change.,heat strokes,Negative,0.0
urbanization is leading to more severe eye diseases.,mental health issues,Negative,0.0
Ocean acidification is increasing allergies.,asthma,Negative,0.0
"The climate has always changed, nothing new.",skin cancer,Neutral,0.5
"The climate has always changed, nothing new.",malnutrition,Neutral,0.5
"Climate change is a myth, no need to worry.",asthma,Neutral,0.5
Ocean acidification is increasing allergies.,asthma,Negative,0.0
Switching to renewable energy creates jobs and boosts the air quality.,skin cancer,Positive,1.0
"The climate has always changed, nothing new.",asthma,Neutral,0.5
green buildings is reducing emissions and improving air quality.,skin cancer,Positive,1.0
Plastic pollution is increasing mental health issues.,asthma,Negative,0.0
industrial pollution is leading to more severe allergies.,mental health issues,Negative,0.0
"Climate change is a myth, no need to worry.",respiratory diseases,Neutral,0.5
electric vehicles is reducing emissions and improving biodiversity.,eye diseases,Positive,1.0
electric vehicles is reducing emissions and improving public health.,asthma,Positive,1.0
Overfishing events are becoming more frequent due to urbanization.,asthma,Negative,0.0
Transitioning to sustainable farming improves economic growth.,skin cancer,Positive,1.0
Plastic pollution events are becoming more frequent due to human activities.,mental health issues,Negative,0.0
climate change is leading to more severe vector-borne diseases.,malnutrition,Negative,0.0
"Extreme weather is worsening due to climate change, affecting respiratory diseases.",respiratory diseases,Negative,0.0
renewable energy is reducing emissions and improving air quality.,allergies,Positive,1.0
Switching to carbon capture creates jobs and boosts the ecosystem stability.,heart diseases,Positive,1.0
carbon capture is reducing emissions and improving ecosystem stability.,mental health issues,Positive,1.0
Land degradation events are becoming more frequent due to climate change.,heat strokes,Negative,0.0
green buildings is reducing emissions and improving biodiversity.,eye diseases,Positive,1.0
Transitioning to carbon capture improves economic growth.,mental health issues,Positive,1.0
renewable energy is reducing emissions and improving air quality.,vector-borne diseases,Positive,1.0
Transitioning to sustainable farming improves biodiversity.,mental health issues,Positive,1.0
"Climate change is a myth, no need to worry.",malnutrition,Neutral,0.5
"Climate change is a myth, no need to worry.",heat strokes,Neutral,0.5
Land degradation events are becoming more frequent due to global warming.,asthma,Negative,0.0
Transitioning to sustainable farming improves economic growth.,asthma,Positive,1.0
Transitioning to green buildings improves ecosystem stability.,skin cancer,Positive,1.0
Plastic pollution events are becoming more frequent due to climate change.,asthma,Negative,0.0
Transitioning to green buildings improves air quality.,heart diseases,Positive,1.0
"Rising sea levels is worsening due to climate change, affecting skin cancer.",heat strokes,Negative,0.0
"The climate has always changed, nothing new.",heat strokes,Neutral,0.5
"The climate has always changed, nothing new.",allergies,Neutral,0.5
Rising sea levels is linked to higher respiratory diseases rates.,asthma,Negative,0.0
Switching to green buildings creates jobs and boosts the ecosystem stability.,mental health issues,Positive,1.0
"Deforestation is worsening due to climate change, affecting heat strokes.",mental health issues,Negative,0.0
Rising temperatures are causing more asthma every year!,mental health issues,Negative,0.0
carbon capture is reducing emissions and improving public health.,malnutrition,Positive,1.0
Rising temperatures are causing more allergies every year!,malnutrition,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting asthma.",mental health issues,Negative,0.0
"Climate change is a myth, no need to worry.",heat strokes,Neutral,0.5
Melting glaciers is linked to higher allergies rates.,vector-borne diseases,Negative,0.0
renewable energy is reducing emissions and improving economic growth.,vector-borne diseases,Positive,1.0
Switching to sustainable farming creates jobs and boosts the public health.,respiratory diseases,Positive,1.0
Melting glaciers is linked to higher respiratory diseases rates.,heart diseases,Negative,0.0
